,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
611,Maruti Swift Dzire,2014,420000,80000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5
612,Hyundai EON Era,2015,235000,50000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5
613,Mahindra Scorpio S10,2016,1100000,60000,Diesel,Individual,Manual,First Owner,15.4,2179.0,120.0,7
614,Maruti Alto K10,2019,360000,25000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5
615,Hyundai Grand i10,2014,380000,50000,Diesel,Individual,Manual,Second Owner,24.0,1120.0,70.0,5
616,Ford EcoSport 1.5,2016,650000,125000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5
617,Maruti Wagon R,2016,350000,80000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5
618,Mahindra Bolero 2011-2019,2017,700000,70000,Diesel,Individual,Manual,First Owner,15.96,2523.0,63.0,9
619,Hyundai i20 Asta,2010,270000,90000,Diesel,Individual,Manual,Third Owner,23.0,1396.0,90.0,5
620,Tata Bolt Quadrajet,2017,450000,50000,Diesel,Individual,Manual,First Owner,22.95,1248.0,74.0,5
621,Mahindra Thar CRDe,2016,630000,101000,Diesel,Individual,Manual,First Owner,16.55,2498.0,105.0,6
622,Mahindra Xylo E4,2010,229999,168000,Diesel,Individual,Manual,First Owner,14.0,2498.0,112.0,7
623,Mahindra Xylo E4,2010,229999,168000,Diesel,Individual,Manual,First Owner,14.0,2498.0,112.0,7
624,Maruti Wagon R,2011,270000,40000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,5
625,Tata Indica Vista,2009,135000,28900,Petrol,Individual,Manual,Second Owner,0.0,1172.0,65.0,5
626,Maruti Wagon R,2012,275000,20000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,5
627,Jaguar XE 2016-2019,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177.0,5
628,Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487.0,214.56,5
629,Jaguar XF 2.0,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,5
630,Tata Safari Storme,2015,503000,110000,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.94,7
631,Volvo XC40 D4,2019,3800000,20000,Diesel,Individual,Automatic,First Owner,18.0,1969.0,190.0,5
632,Toyota Camry 2.5,2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494.0,157.7,5
633,Maruti Wagon R,2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79,998.0,67.05,5
634,Maruti Baleno Alpha,2018,740000,38817,Diesel,Dealer,Manual,First Owner,27.39,1248.0,74.0,5
635,Honda Jazz VX,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199.0,88.7,5
636,Toyota Innova 2.5,2013,750000,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99,2494.0,100.6,7
637,Maruti Swift AMT,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197.0,81.8,5
638,Toyota Etios VX,2017,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496.0,88.73,5
639,Maruti Swift AMT,2018,600000,69779,Petrol,Dealer,Automatic,First Owner,22.0,1197.0,81.8,5
640,Hyundai Grand i10,2017,450000,56290,Diesel,Dealer,Manual,First Owner,24.0,1186.0,73.97,5
641,BMW X4 M,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5
642,BMW X4 M,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5
643,Honda Amaze V,2019,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,1199.0,88.76,5
644,Skoda Rapid 1.6,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,5
645,Volvo V40 D3,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984.0,150.0,5
646,Mahindra TUV 300,2015,634000,165000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7
647,Maruti A-Star Zxi,2012,235000,98500,Petrol,Individual,Manual,Second Owner,19.0,998.0,66.1,5
648,Hyundai i10 Asta,2008,275000,98000,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5
649,Mahindra Thar CRDe,2014,700000,40000,Diesel,Individual,Manual,Second Owner,16.55,2498.0,105.0,6
650,Fiat Grande Punto,2013,400000,90000,Diesel,Individual,Manual,First Owner,20.3,1248.0,92.0,5
651,Maruti Alto LXi,2012,215000,90000,Petrol,Individual,Manual,Third Owner,19.7,796.0,46.3,5
652,Hyundai Getz 1.5,2009,150000,110000,Diesel,Individual,Manual,Second Owner,17.1,1493.0,110.0,5
653,Maruti S-Cross 2017-2020,2018,950000,77800,Diesel,Individual,Manual,First Owner,25.1,1248.0,88.5,5
654,Mahindra TUV 300,2015,730000,100000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7
655,Tata Indica V2,2012,135000,120000,Diesel,Individual,Manual,Second Owner,19.0,1405.0,71.0,5
656,Hyundai Xcent 1.2,2016,350000,80000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,82.0,5
657,Mahindra KUV 100,2018,535000,21000,Petrol,Individual,Manual,Second Owner,18.15,1198.0,82.0,6
658,Maruti Swift Dzire,2018,455000,100000,Petrol,Individual,Manual,Second Owner,19.0,1197.0,85.8,5
659,Maruti Swift Dzire,2019,655000,25000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5
660,Ford EcoSport 1.5,2019,800000,30000,Diesel,Individual,Manual,Third Owner,23.0,1498.0,98.96,5
661,Toyota Yaris V,2018,1100000,25000,Petrol,Individual,Automatic,First Owner,17.8,1496.0,105.5,5
662,Mercedes-Benz E-Class E250,2016,3000000,40000,Diesel,Individual,Automatic,First Owner,13.0,2143.0,204.0,5
663,Toyota Fortuner 4x2,2012,1225000,160000,Diesel,Individual,Automatic,First Owner,11.5,2982.0,169.0,7
664,Mahindra KUV 100,2018,340000,51492,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,6
665,Volkswagen Vento Diesel,2011,300000,72000,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.6,5
666,Ford Figo 1.2P,2016,370000,60000,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5
667,Mahindra Bolero 2011-2019,2013,330000,136000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,7
668,Hyundai Santro Xing,2014,238000,60000,Petrol,Individual,Manual,First Owner,17.92,1086.0,62.1,5
669,Hyundai Santro Xing,2013,200000,90000,Petrol,Individual,Manual,First Owner,17.92,1086.0,62.1,5
670,Nissan Sunny Diesel,2014,320000,91000,Diesel,Individual,Manual,Fourth & Above Owner,22.71,1461.0,84.8,5
671,Hyundai Santro Xing,2009,114999,90000,Petrol,Individual,Manual,Fourth & Above Owner,17.92,1086.0,62.1,5
672,Maruti Wagon R,2015,320000,50000,Petrol,Individual,Manual,Second Owner,20.51,998.0,67.04,5
673,Hyundai i10 Era,2010,210000,20000,Petrol,Individual,Manual,First Owner,19.81,1086.0,68.05,5
674,Mahindra Xylo D2,2011,200000,120000,Diesel,Individual,Manual,First Owner,14.0,2489.0,95.0,8
675,Maruti Wagon R,2009,135000,150000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5
676,Tata Indigo CS,2015,350000,52000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5
677,Mahindra Bolero 2011-2019,2014,350000,167000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,8
678,Maruti Swift Dzire,2017,680000,40000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5
679,Maruti Swift Vdi,2010,200000,190000,Diesel,Individual,Manual,Second Owner,17.8,1248.0,75.0,5
680,Renault KWID 1.0,2016,300000,50000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5
681,Mahindra Xylo E6,2011,270000,70000,Diesel,Individual,Manual,Second Owner,14.0,2498.0,112.0,7
682,Maruti Wagon R,2012,225000,80000,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,5
683,Mahindra Bolero DI,2008,250000,120000,Diesel,Individual,Manual,First Owner,13.6,2523.0,63.0,8
684,Mahindra TUV 300,2015,590000,40000,Diesel,Individual,Manual,Second Owner,18.49,1493.0,100.0,7
685,Hyundai EON Era,2015,290000,17000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5
686,Maruti Zen Estilo,2010,100000,180000,Petrol,Individual,Manual,Second Owner,19.0,998.0,67.1,5
687,Maruti Celerio VXI,2016,395000,50000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5
688,Hyundai EON Era,2014,195000,65000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5
689,Tata Nano Cx,2011,45000,10000,Petrol,Individual,Manual,Third Owner,26.0,624.0,35.0,4
690,Mahindra Bolero DI,2009,270000,70000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,8
691,Chevrolet Tavera Neo,2014,600000,90000,Diesel,Individual,Manual,Second Owner,13.58,2499.0,72.4,9
692,Hyundai i20 Asta,2015,715000,50000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5
693,Hyundai Elite i20,2019,600000,10000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5
694,Mahindra TUV 300,2019,875000,25000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7
695,Mahindra Scorpio M2DI,2011,420000,100000,Diesel,Individual,Manual,Second Owner,13.5,2179.0,115.0,5
696,Honda CR-V 2.4,2007,325000,70000,Petrol,Individual,Automatic,Second Owner,10.1,2354.0,152.0,5
697,Datsun GO Anniversary,2017,385000,30000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.06,5
698,Mahindra KUV 100,2016,300000,40000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,6
699,Hyundai i20 Sportz,2012,335000,135000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5
700,Maruti Celerio LXI,2014,300000,35000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5
701,Hyundai Accent GLE,2004,80000,120000,Petrol,Individual,Manual,Second Owner,13.2,1495.0,94.0,5
702,Mahindra Bolero 2011-2019,2012,400000,120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7
703,Tata Indigo CS,2012,168000,190000,Diesel,Individual,Manual,Second Owner,19.09,1396.0,69.0,5
704,Mahindra Bolero 2011-2019,2016,550000,120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,9
705,Mahindra Bolero PLUS,2011,320000,175000,Diesel,Individual,Manual,Third Owner,13.6,2523.0,63.0,7
706,Mahindra Bolero 2011-2019,2011,320000,175000,Diesel,Individual,Manual,Third Owner,15.96,2523.0,63.0,9
707,Nissan Sunny XE,2011,350000,25000,Petrol,Individual,Manual,Second Owner,16.95,1498.0,97.7,5
708,Tata Manza Club,2013,280000,80000,Diesel,Individual,Manual,First Owner,21.02,1248.0,88.76,5
709,Hyundai Xcent 1.1,2017,550000,70000,Diesel,Individual,Manual,Second Owner,24.4,1120.0,71.0,5
710,Hyundai Xcent 1.2,2018,500000,10000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5
711,Ford Freestyle Titanium,2019,700000,6000,Petrol,Individual,Manual,First Owner,19.0,1194.0,94.68,5
712,Skoda Rapid Ultima,2013,380000,90000,Diesel,Individual,Manual,Second Owner,20.5,1598.0,103.5,5
713,Mahindra Bolero 2011-2019,2012,340000,110000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,63.0,9
714,Mahindra Bolero 2011-2019,2007,160000,120000,Diesel,Individual,Manual,Third Owner,13.6,2523.0,63.0,9
715,Toyota Innova 2.5,2014,750000,50000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,7
716,Hyundai Grand i10,2018,531000,20000,Petrol,Individual,Automatic,First Owner,18.9,1197.0,81.86,5
717,Renault KWID 1.0,2017,300000,35000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5
718,Volkswagen Polo 1.5,2014,350000,60000,Diesel,Individual,Manual,Second Owner,20.14,1498.0,88.8,5
719,Chevrolet Beat LT,2010,150000,68000,Petrol,Individual,Manual,Fourth & Above Owner,18.6,1199.0,79.4,5
720,Maruti Swift VXI,2015,450000,30000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5
721,Mahindra XUV500 W10,2017,1625000,54000,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,7
722,Tata Indica V2,2006,85000,120000,Diesel,Individual,Manual,Third Owner,16.8,1405.0,68.0,5
723,Hyundai Grand i10,2018,450000,30000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5
724,Tata Tiago 1.05,2017,360000,50000,Diesel,Individual,Manual,First Owner,27.28,1047.0,69.0,5
725,Maruti Alto K10,2020,390000,6000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5
726,Maruti Eeco 7,2011,145000,50000,Petrol,Individual,Manual,Second Owner,15.37,1196.0,73.0,7
727,Mahindra Scorpio VLX,2012,540000,90000,Diesel,Individual,Manual,Third Owner,12.05,2179.0,120.0,8
728,Toyota Innova 2.5,2008,290000,126000,Diesel,Individual,Manual,Third Owner,12.8,2494.0,102.0,8
729,Tata Indigo eCS,2013,300000,90000,Diesel,Individual,Manual,First Owner,25.0,1396.0,69.0,5
730,Ford Figo Aspire,2017,565000,80000,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5
731,Mahindra Scorpio 2.6,2011,441000,70000,Diesel,Individual,Manual,Second Owner,10.5,2609.0,120.0,7
732,Hyundai EON Era,2011,180000,80000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5
733,Hyundai EON D,2013,200000,80000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5
734,Maruti Alto LX,2005,85000,150000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5
735,Tata Indica V2,2006,67500,110000,Diesel,Individual,Manual,Fourth & Above Owner,17.88,1396.0,52.8,5
736,Maruti Vitara Brezza,2016,700000,110000,Diesel,Individual,Manual,Second Owner,24.3,1248.0,88.5,5
737,Volkswagen Polo Diesel,2010,275000,80000,Diesel,Individual,Manual,Fourth & Above Owner,22.07,1199.0,73.9,5
738,Hyundai Grand i10,2019,600000,20000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5
739,Mahindra Xylo D2,2011,250000,120000,Diesel,Individual,Manual,First Owner,13.0,2489.0,95.0,8
740,Mahindra Bolero 2011-2019,2016,600000,120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,63.0,9
741,Fiat Linea 1.3,2010,200000,80000,Diesel,Individual,Manual,Second Owner,20.4,1248.0,91.2,5
742,Hyundai Grand i10,2015,425000,91500,Diesel,Individual,Manual,Second Owner,24.0,1120.0,70.0,5
743,Maruti Swift Dzire,2012,420000,120000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5
744,Hyundai i20 1.4,2012,321000,100000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5
745,Mahindra Xylo D4,2012,350000,120000,Diesel,Individual,Manual,Fourth & Above Owner,14.0,2498.0,112.0,8
746,Honda Amaze i-VTEC,2017,490000,80000,Petrol,Individual,Manual,First Owner,17.8,1198.0,86.7,5
747,Mahindra Scorpio S2,2015,680000,90000,Diesel,Individual,Manual,First Owner,15.4,2523.0,75.0,7
748,Maruti Alto K10,2016,298000,70000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5
749,Mahindra Scorpio M2DI,2011,450000,150000,Diesel,Individual,Manual,Fourth & Above Owner,13.5,2179.0,115.0,5
750,Tata Indica Vista,2012,250000,40000,Diesel,Individual,Manual,First Owner,22.3,1248.0,74.0,5
751,Ford Endeavour Hurricane,2013,1075000,110000,Diesel,Individual,Automatic,Third Owner,12.8,2953.0,156.0,7
752,Hyundai Grand i10,2017,500000,20000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5
753,Ford Freestyle Trend,2019,681000,10000,Petrol,Individual,Manual,First Owner,19.0,1194.0,94.68,5
754,Mahindra XUV500 W8,2014,650000,90000,Diesel,Individual,Manual,Second Owner,15.1,2179.0,140.0,7
755,Chevrolet Aveo U-VA,2008,80000,70000,Petrol,Individual,Manual,Second Owner,15.26,1150.0,74.9,5
756,Mahindra Bolero SLX,2009,290000,120000,Diesel,Individual,Manual,First Owner,13.6,2523.0,63.0,7
757,Mahindra Scorpio 2.6,2006,220000,120000,Diesel,Individual,Manual,Second Owner,10.5,2179.0,120.0,8
758,Hyundai Santro Xing,2009,120000,90000,Petrol,Individual,Manual,Second Owner,0.0,1086.0,62.0,5
759,Datsun RediGO Sport,2017,229999,80000,Petrol,Individual,Manual,First Owner,22.7,799.0,53.0,5
760,Mahindra Bolero ZLX,2003,150000,132478,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,7
761,Maruti Swift Dzire,2014,500000,45000,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,5
762,Tata Indigo CS,2013,175000,120000,Diesel,Individual,Manual,First Owner,19.09,1396.0,69.0,5
763,Ford Freestyle Titanium,2019,720000,10000,Petrol,Individual,Manual,First Owner,19.0,1194.0,94.68,5
764,Maruti 800 AC,2012,100000,51000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4
765,Honda Civic 1.8,2009,250000,105000,Petrol,Individual,Automatic,Second Owner,12.9,1799.0,130.0,5
766,Mahindra XUV500 W6,2014,810000,100000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7
767,Maruti Alto LXi,2010,165000,30000,Petrol,Individual,Manual,Third Owner,19.7,796.0,46.3,5
768,Chevrolet Tavera Neo,2016,409999,60000,Diesel,Individual,Manual,Second Owner,12.2,1994.0,105.3,10
769,Maruti Swift VDI,2013,430000,86000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5
770,Datsun GO Plus,2015,300000,15000,Petrol,Individual,Manual,First Owner,20.62,1198.0,67.0,7
771,Maruti Swift Dzire,2011,350000,137500,Diesel,Individual,Manual,Third Owner,19.3,1248.0,73.9,5
772,Renault KWID 1.0,2018,400000,60000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5
773,Chevrolet Enjoy 1.3,2016,420000,70000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.74,7
774,Maruti Wagon R,2015,430000,5000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5
775,Maruti Swift VXI,2017,573000,30000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5
776,Hyundai EON D,2015,210000,40000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5
777,Renault Duster 110PS,2015,600000,60000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.45,5
778,Honda City 2017-2020,2008,150000,70000,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5
779,Tata Tigor 1.2,2019,550000,15000,Petrol,Individual,Manual,First Owner,20.3,1199.0,84.0,5
780,Maruti Swift Dzire,2011,320000,110000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5
781,Maruti 800 AC,2000,80000,70000,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796.0,37.0,4
782,Honda Amaze VX,2019,800000,10000,Diesel,Individual,Manual,First Owner,27.4,1498.0,98.63,5
783,Maruti Ertiga ZXI,2013,500000,60000,Petrol,Individual,Manual,First Owner,16.02,1373.0,93.7,7
784,Tata Manza Aura,2011,229999,110000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5
785,Maruti Ertiga ZXI,2013,500000,60000,Petrol,Individual,Manual,First Owner,16.02,1373.0,93.7,7
786,Hyundai i20 Asta,2015,630000,35000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5
787,Maruti Omni E,2016,190000,70000,Petrol,Individual,Manual,Second Owner,16.8,796.0,34.2,8
788,Tata Manza Aura,2011,229999,110000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5
789,Mahindra Bolero VLX,2011,450000,100000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,7
790,Maruti Alto Std,2008,95000,120000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5
791,Maruti Omni 8,2009,101000,90000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,35.0,8
792,Honda Amaze E,2016,500000,70000,Diesel,Individual,Manual,Second Owner,25.8,1498.0,98.6,5
793,Toyota Innova 2.5,2014,1019999,88000,Diesel,Individual,Manual,Second Owner,12.99,2494.0,100.6,7
794,Hyundai EON Era,2012,244000,38000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5
795,Maruti Wagon R,2013,250000,90000,Petrol,Individual,Manual,Second Owner,20.51,998.0,67.04,5
796,Maruti Baleno Alpha,2016,660000,60000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5
797,Hyundai i20 Magna,2010,270000,60000,Petrol,Individual,Manual,First Owner,18.5,1197.0,80.0,5
798,Maruti Ritz VDi,2012,280000,156060,Diesel,Individual,Manual,First Owner,23.2,1248.0,73.94,5
799,Hyundai Creta 1.6,2017,1050000,60000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5
800,Maruti Swift Dzire,2017,525000,70000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5
801,Hyundai Verna 1.6,2017,850000,35000,Diesel,Individual,Manual,First Owner,23.9,1582.0,126.2,5
802,Mahindra XUV500 W10,2016,1165000,50000,Diesel,Individual,Manual,First Owner,16.0,1997.0,140.0,7
803,Maruti Swift ZXI,2012,345000,50000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,85.8,5
804,Hyundai Santro Xing,2007,95000,100000,Petrol,Individual,Manual,Second Owner,17.8,1086.0,63.0,5
805,Maruti Alto 800,2015,241000,15000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5
806,Maruti Alto 800,2015,235000,20000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5
807,Ford EcoSport 1.5,2015,615000,80000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5
808,Mahindra Verito Vibe,2014,350000,110000,Diesel,Individual,Manual,Second Owner,20.8,1461.0,64.1,5
809,Maruti Wagon R,2014,350000,35000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5
810,Maruti Wagon R,2014,380000,35000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5
811,Tata Sumo Gold,2017,400000,140000,Diesel,Individual,Manual,First Owner,14.07,2956.0,69.01,7
812,Maruti Zen Estilo,2010,220000,40000,Petrol,Individual,Manual,First Owner,19.0,998.0,67.1,5
813,Tata Sumo GX,2008,270000,110000,Diesel,Individual,Manual,Third Owner,14.4,2179.0,120.0,7
814,Maruti Ritz ZXi,2012,275000,70000,Petrol,Individual,Manual,Second Owner,18.5,1197.0,85.8,5
815,Tata Indica Vista,2009,125000,100000,Diesel,Individual,Manual,Second Owner,17.0,1405.0,71.0,5
816,Hyundai i10 Sportz,2015,360000,20000,Petrol,Individual,Manual,First Owner,19.81,1086.0,68.05,5
817,Hyundai Grand i10,2019,550000,15000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5
818,Ford Fiesta 1.4,2011,200000,70000,Petrol,Individual,Manual,Second Owner,16.6,1388.0,68.0,5
819,Mahindra KUV 100,2016,327000,20000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,6
820,Hyundai i10 Sportz,2016,425000,15000,Petrol,Individual,Manual,First Owner,19.81,1086.0,68.05,5
821,Maruti Swift Dzire,2017,620000,107000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5
822,Tata Indica Vista,2011,130000,54000,Diesel,Individual,Manual,Second Owner,18.4,1248.0,75.0,5
823,Maruti Alto LX,2009,120000,58000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5
824,Mahindra Scorpio SLE,2011,400000,110000,Diesel,Individual,Manual,Second Owner,12.05,2179.0,120.0,8
825,Hyundai Verna CRDi,2007,185000,90000,Diesel,Individual,Manual,Fourth & Above Owner,16.8,1493.0,110.0,5
826,Hyundai EON 1.0,2015,204999,43000,Petrol,Individual,Manual,Second Owner,20.3,998.0,68.05,5
827,Maruti Swift Dzire,2017,625000,43000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5
828,Maruti Ertiga ZDI,2013,600000,60000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.8,7
829,Tata Indigo GLX,2011,150000,150000,Petrol,Individual,Manual,First Owner,12.8,1396.0,85.0,5
830,Renault KWID 1.0,2017,300000,35000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5
831,Chevrolet Sail Hatchback,2013,229999,46000,Petrol,Individual,Manual,First Owner,18.2,1199.0,84.8,5
832,Maruti Omni E,2018,220000,10000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8
833,Hyundai i20 Asta,2016,576000,35000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5
834,Renault KWID RXT,2016,265000,50000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5
835,Hyundai Verna 1.6,2011,300000,80000,Diesel,Individual,Manual,First Owner,22.32,1582.0,126.32,5
836,Tata Tigor 1.05,2017,420000,110000,Diesel,Individual,Manual,First Owner,24.7,1047.0,69.0,5
837,Maruti Ertiga VDI,2015,750000,14000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7
838,Maruti Alto 800,2012,165000,60000,CNG,Individual,Manual,Second Owner,30.46,796.0,47.3,5
839,Renault KWID RXT,2017,290000,28000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5
840,Hyundai EON Era,2011,160000,57000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5
841,Maruti Swift Dzire,2017,695000,50000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5
842,Maruti Wagon R,2012,231000,70000,LPG,Individual,Manual,First Owner,26.2,998.0,58.2,5
843,Toyota Corolla Altis,2015,1050000,60000,Diesel,Individual,Manual,First Owner,21.43,1364.0,87.2,5
844,Hyundai i20 Sportz,2013,400000,70000,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,5
845,Hyundai i20 2015-2017,2016,500000,40000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5
846,Tata Manza Aqua,2010,150000,120000,Diesel,Individual,Manual,Second Owner,21.12,1248.0,88.8,5
847,Mahindra Xylo H4,2016,400000,140000,Diesel,Individual,Manual,Second Owner,14.02,2179.0,118.3,7
848,Tata Indigo LS,2010,120000,100000,Diesel,Individual,Manual,Second Owner,17.0,1405.0,70.0,5
849,Mahindra Xylo H4,2014,480000,120000,Diesel,Individual,Manual,Second Owner,14.02,2179.0,118.3,7
850,Tata Indigo CS,2013,200000,120000,Diesel,Individual,Manual,Second Owner,19.09,1405.0,69.01,5
851,Ford Fiesta Classic,2012,300000,64000,Diesel,Individual,Manual,Second Owner,17.8,1399.0,67.0,5
852,Maruti Celerio VXI,2015,350000,25000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5
853,Renault Triber RXT,2019,580000,12000,Petrol,Individual,Manual,First Owner,20.0,999.0,72.0,7
854,Chevrolet Beat Diesel,2012,200000,70000,Diesel,Individual,Manual,Second Owner,25.44,936.0,57.6,5
855,Mahindra Scorpio Getaway,2016,750000,120000,Diesel,Individual,Manual,First Owner,11.0,2179.0,120.0,5
856,Renault KWID RXT,2016,261000,90000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5
